Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
gamma[1]    0.600   0.496  0.000  0.000  1.000  1.000  1.000  1.855     6
gamma[2]    0.500   0.506  0.000  0.000  0.500  1.000  1.000  1.426     9
gamma[3]    0.350   0.483  0.000  0.000  0.000  1.000  1.000  2.612     5
gamma[4]    0.750   0.439  0.000  0.750  1.000  1.000  1.000  1.000     1
gamma[5]    0.250   0.439  0.000  0.000  0.000  0.250  1.000  1.000     1
gamma[6]    0.300   0.464  0.000  0.000  0.000  1.000  1.000  3.174     5
gamma[7]    0.425   0.501  0.000  0.000  0.000  1.000  1.000  2.237     6
gamma[8]    1.000   0.000  1.000  1.000  1.000  1.000  1.000  1.000     1
gamma[9]    0.800   0.405  0.000  1.000  1.000  1.000  1.000  1.149    20
gamma[10]   0.275   0.452  0.000  0.000  0.000  1.000  1.000  4.265     4
gamma[11]   0.425   0.501  0.000  0.000  0.000  1.000  1.000  2.972     5
gamma[12]   0.600   0.496  0.000  0.000  1.000  1.000  1.000  2.708     5
gamma[13]   0.975   0.158  0.975  1.000  1.000  1.000  1.000  1.287    40
gamma[14]   0.400   0.496  0.000  0.000  0.000  1.000  1.000  2.708     5
theta[1]    0.367   0.410 -0.346  0.133  0.266  0.525  1.354  1.318    13
theta[2]    0.251   0.479 -0.479  0.045  0.125  0.453  1.357  1.214    15
theta[3]    0.161   0.559 -0.353 -0.073  0.189  0.433  1.071  1.173    20
theta[4]    0.426   0.490 -0.634  0.137  0.439  0.736  1.124  1.392    10
theta[5]    0.170   0.510 -0.607 -0.166  0.177  0.343  1.349  1.323    11
theta[6]   -0.039   0.449 -0.501 -0.232 -0.016  0.189  0.550  1.176    40
theta[7]    0.033   0.710 -1.145 -0.136 -0.057  0.110  1.422  1.251    37
theta[8]    0.146   0.058  0.068  0.099  0.153  0.189  0.240  1.389    10
theta[9]   -0.046   0.278 -0.412 -0.252 -0.147  0.118  0.535  1.237    15
theta[10]   0.125   0.592 -1.137  0.032  0.189  0.387  0.954  1.080    40
theta[11]   0.097   0.343 -0.479 -0.059  0.181  0.241  0.617  1.107    26
theta[12]   0.279   0.837 -2.087  0.091  0.379  0.556  1.422  1.224    40
theta[13]  -0.247   0.138 -0.481 -0.339 -0.254 -0.149 -0.038  1.130    18
theta[14]  -0.174   0.391 -0.693 -0.295 -0.147  0.036  0.348  1.222    23
xi[1]      -0.066   0.945 -2.072 -0.184 -0.036  0.258  1.576  1.220    40
xi[2]       0.047   0.773 -1.611 -0.325  0.050  0.502  1.526  1.077    40
xi[3]       0.217   0.747 -0.850 -0.193  0.106  0.444  1.519  1.425    10
xi[4]       0.068   0.822 -1.829 -0.402  0.084  0.499  1.806  1.133    40
xi[5]      -0.133   0.853 -2.821 -0.211 -0.029  0.230  1.252  1.166    40
xi[6]       0.158   0.916 -2.607 -0.067  0.193  0.438  1.769  1.189    40
xi[7]      -0.018   0.690 -1.313 -0.353 -0.013  0.339  1.466  1.111    25
xi[8]      -0.159   1.115 -2.749 -0.420 -0.135  0.276  1.133  1.221    40
xi[9]      -0.130   0.746 -1.699 -0.390 -0.056  0.333  0.919  1.148    39
xi[10]      0.152   0.785 -1.161 -0.195  0.180  0.680  1.332  1.124    24
xi[11]      0.157   0.690 -0.826 -0.258  0.113  0.467  1.722  1.130    30
xi[12]      0.146   0.361 -0.329 -0.125  0.110  0.206  1.142  1.124    37
xi[13]      0.154   0.549 -0.560 -0.230  0.008  0.508  1.281  1.136    22
xi[14]      0.044   0.747 -1.166 -0.329 -0.124  0.504  1.625  1.081    32
xi[15]      0.190   0.561 -0.575 -0.178  0.043  0.462  1.354  1.116    23
xi[16]     -0.077   0.804 -1.057 -0.489 -0.056  0.415  1.140  1.193    24
xi[17]      0.080   0.836 -1.007 -0.410 -0.097  0.520  1.487  1.306    15
xi[18]      0.281   0.516 -0.885  0.000  0.240  0.656  1.116  1.387    10
xi[19]     -0.176   0.585 -1.247 -0.359 -0.173 -0.060  0.866  1.143    40
xi[20]      0.047   0.741 -1.104 -0.266  0.022  0.331  1.462  1.157    40
xi[21]      0.032   0.700 -1.360 -0.213 -0.044  0.294  1.408  1.095    40
xi[22]      0.033   0.466 -0.627 -0.282 -0.102  0.423  1.079  1.196    15
xi[23]     -0.217   0.715 -2.136 -0.554 -0.033  0.170  0.842  1.142    26
xi[24]     -0.039   0.447 -0.950 -0.329 -0.125  0.367  0.613  1.056    30
xi[25]     -0.245   0.814 -1.471 -0.699 -0.096  0.262  0.672  1.172    26
xi[26]     -0.036   0.584 -0.969 -0.463 -0.037  0.275  1.216  1.034    40
xi[27]     -0.133   0.901 -1.598 -0.580 -0.094  0.247  1.864  1.097    40
xi[28]      0.020   0.731 -1.967 -0.288  0.015  0.427  1.117  1.088    40
xi[29]     -0.157   0.751 -1.762 -0.429 -0.057  0.335  1.030  1.206    18
xi[30]     -0.029   0.919 -0.951 -0.284  0.108  0.266  1.153  1.168    40
xi[31]      0.183   0.585 -0.637 -0.162  0.098  0.389  1.513  1.102    40
xi[32]     -0.032   0.755 -1.669 -0.346 -0.087  0.481  1.277  1.103    40
xi[33]      0.026   0.994 -1.995 -0.275  0.121  0.534  0.844  1.181    40
xi[34]      0.023   0.704 -1.409 -0.328  0.043  0.384  1.246  1.037    40
xi[35]      0.151   0.688 -0.786 -0.375  0.103  0.628  1.569  1.230    15
xi[36]     -0.128   0.634 -1.565 -0.349 -0.117  0.196  0.780  1.338    12
xi[37]      0.174   1.020 -1.328 -0.497  0.137  0.428  2.268  1.133    40
xi[38]      0.415   0.714 -0.803  0.004  0.353  0.671  2.122  1.227    24
xi[39]      0.088   0.607 -1.129 -0.163  0.129  0.501  0.948  1.447     9
deviance   10.034  11.865 -2.878  2.026  5.969 14.269 38.251  2.906     5

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 17.5 and DIC = 27.5
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%   Rhat n.eff
S[1]       18.000  10.910  3.975  9.750 13.000 27.000 33.000  3.717     5
S[2]       22.425  10.926  5.000 16.750 18.500 33.000 38.000  4.248     4
S[3]       27.100   8.142 18.000 19.000 26.500 34.000 37.000 18.814     4
S[4]        8.650   5.811  2.000  4.250  7.500 10.000 18.000 11.931     4
S[5]       19.900  12.146  6.000 12.750 18.000 24.000 39.000 18.784     4
S[6]       22.750  10.010  9.000 15.750 24.000 31.000 34.000  1.000     1
S[7]       15.850  12.493  2.000  4.750 12.500 22.750 39.000  7.325     4
S[8]       14.175   6.205  5.000  9.000 18.000 18.000 24.000  4.437     4
S[9]        9.025   5.503  4.000  4.750  6.000 10.000 20.000  1.825     7
S[10]      21.300  12.166  3.975 14.500 19.000 29.000 39.000  7.317     4
S[11]      15.900   6.990  5.000 10.000 18.000 18.000 29.000  1.455    10
S[12]      13.200  10.204  3.000  5.000  9.000 19.250 33.000  2.297     5
S[13]      24.600   7.232 16.000 18.000 23.500 30.250 34.000 16.295     4
S[14]      17.225  10.873  3.000 10.500 13.500 22.750 34.000  4.741     4
beta[1]     0.261   0.341 -0.114  0.000  0.037  0.524  0.987  1.553     8
beta[2]     0.000   0.014 -0.002  0.000  0.000  0.000  0.002  1.167    31
beta[3]     0.657   0.390 -0.080  0.370  0.726  0.965  1.259  3.049     5
beta[4]     0.155   0.226 -0.043  0.000  0.000  0.339  0.605  2.007     6
beta[5]     0.100   0.295 -0.473  0.000  0.000  0.211  0.642  1.441    10
beta[6]    -0.080   0.351 -0.796 -0.155  0.000  0.076  0.351  1.508     9
beta[7]    -0.004   0.018 -0.042  0.000  0.000  0.000  0.000  1.334    24
beta[8]     0.086   0.084  0.000  0.000  0.108  0.150  0.223  2.999     5
beta[9]     0.141   0.232 -0.241  0.000  0.045  0.349  0.526  2.171     6
beta[10]    0.001   0.051 -0.137  0.000  0.000  0.000  0.166  1.271    17
beta[11]   -0.047   0.151 -0.428 -0.024  0.000  0.000  0.141  2.044     6
beta[12]    0.184   0.340  0.000  0.000  0.000  0.142  1.008  4.216     4
beta[13]   -0.133   0.135 -0.406 -0.220 -0.117  0.000  0.000  2.173     6
beta[14]   -0.084   0.152 -0.419 -0.100  0.000  0.000  0.000  2.121     6
gamma[1]    0.575   0.501  0.000  0.000  1.000  1.000  1.000  2.972     5
gamma[2]    0.050   0.221  0.000  0.000  0.000  0.000  1.000  1.108    40
gamma[3]    1.000   0.000  1.000  1.000  1.000  1.000  1.000  1.000     1
gamma[4]    0.500   0.506  0.000  0.000  0.500  1.000  1.000  1.000     1
gamma[5]    0.500   0.506  0.000  0.000  0.500  1.000  1.000  1.000     1
gamma[6]    0.750   0.439  0.000  0.750  1.000  1.000  1.000  1.000     1
gamma[7]    0.050   0.221  0.000  0.000  0.000  0.000  1.000  1.362    20
gamma[8]    0.550   0.504  0.000  0.000  1.000  1.000  1.000  3.508     5
gamma[9]    0.650   0.483  0.000  0.000  1.000  1.000  1.000  1.141    17
gamma[10]   0.150   0.362  0.000  0.000  0.000  0.000  1.000  1.278    15
gamma[11]   0.325   0.474  0.000  0.000  0.000  1.000  1.000  2.484     5
gamma[12]   0.275   0.452  0.000  0.000  0.000  1.000  1.000  4.265     4
gamma[13]   0.600   0.496  0.000  0.000  1.000  1.000  1.000  2.708     5
gamma[14]   0.350   0.483  0.000  0.000  0.000  1.000  1.000  2.261     5
theta[1]    0.351   0.476 -0.935  0.198  0.413  0.595  1.219  1.080    31
theta[2]    0.224   0.428 -0.612 -0.044  0.164  0.471  1.030  1.069    40
theta[3]    0.657   0.390 -0.080  0.370  0.726  0.965  1.259  3.049     5
theta[4]    0.269   0.322 -0.281  0.126  0.216  0.430  0.955  1.164    30
theta[5]    0.151   0.443 -0.619 -0.141  0.154  0.461  0.946  1.081    25
theta[6]   -0.042   0.366 -0.796 -0.155  0.080  0.162  0.351  1.595     8
theta[7]    0.083   0.739 -0.950 -0.189 -0.025  0.461  1.153  1.257    17
theta[8]    0.100   0.367 -0.613  0.012  0.139  0.188  1.095  1.096    40
theta[9]    0.170   0.409 -0.621 -0.070  0.209  0.375  1.095  1.243    15
theta[10]  -0.012   0.503 -0.944 -0.264 -0.116  0.375  1.097  1.154    19
theta[11]   0.013   0.446 -0.623 -0.221 -0.066  0.168  1.013  1.287    18
theta[12]   0.378   0.396 -0.369  0.207  0.388  0.588  1.025  1.398    10
theta[13]  -0.174   0.314 -0.796 -0.268 -0.164  0.105  0.195  1.608     8
theta[14]  -0.191   0.508 -1.230 -0.416 -0.177 -0.031  0.577  1.099    27
xi[1]       0.013   0.602 -0.858 -0.375 -0.058  0.353  1.576  1.014    40
xi[2]       0.061   0.813 -1.407 -0.192  0.118  0.309  1.232  1.109    40
xi[3]      -0.042   0.714 -1.170 -0.423 -0.006  0.298  0.901  1.115    40
xi[4]       0.021   0.527 -0.909 -0.265  0.183  0.383  0.718  1.233    13
xi[5]       0.297   0.592 -0.813  0.042  0.211  0.566  1.280  1.248    14
xi[6]      -0.028   0.792 -1.548 -0.286  0.142  0.425  0.729  1.346    13
xi[7]       0.215   0.896 -0.862 -0.208  0.063  0.438  1.766  1.150    40
xi[8]       0.037   0.514 -0.796 -0.347  0.038  0.309  1.200  1.049    40
xi[9]      -0.061   0.613 -1.148 -0.355 -0.111  0.217  1.463  1.079    40
xi[10]      0.133   0.684 -1.236 -0.238  0.092  0.442  1.379  1.037    40
xi[11]     -0.042   0.633 -0.936 -0.410 -0.109  0.302  1.495  1.132    40
xi[12]     -0.026   0.689 -1.780 -0.261  0.081  0.287  1.076  1.151    26
xi[13]     -0.064   0.489 -0.920 -0.487 -0.045  0.362  0.644  1.329    11
xi[14]     -0.206   0.539 -1.368 -0.579 -0.122  0.153  0.695  1.021    40
xi[15]     -0.151   0.544 -1.415 -0.497 -0.124  0.181  0.873  1.178    19
xi[16]      0.161   0.629 -1.076 -0.190  0.173  0.491  1.520  1.214    14
xi[17]      0.060   0.524 -1.000 -0.296  0.073  0.369  0.799  1.075    30
xi[18]      0.049   0.338 -0.512 -0.138  0.073  0.183  0.798  1.297    12
xi[19]     -0.039   0.513 -1.028 -0.273  0.020  0.332  0.615  1.589     8
xi[20]      0.050   0.704 -1.216 -0.358  0.087  0.307  1.058  1.135    40
xi[21]     -0.185   0.722 -1.715 -0.509 -0.185  0.252  1.214  1.355    12
xi[22]     -0.015   0.691 -1.627 -0.358 -0.065  0.338  1.248  1.108    29
xi[23]      0.063   0.687 -1.292 -0.181  0.019  0.314  1.661  1.078    40
xi[24]     -0.105   0.778 -1.567 -0.427 -0.045  0.253  1.261  1.063    40
xi[25]     -0.001   0.889 -1.725 -0.107  0.161  0.478  0.965  1.106    40
xi[26]     -0.129   0.505 -1.173 -0.374 -0.118  0.059  1.258  0.997    40
xi[27]      0.180   0.729 -0.852 -0.192  0.054  0.431  2.378  1.093    29
xi[28]      0.086   0.667 -0.831 -0.366  0.000  0.337  1.590  1.110    26
xi[29]     -0.059   0.642 -0.871 -0.295 -0.089  0.178  1.179  1.205    20
xi[30]      0.109   0.734 -1.050 -0.191  0.156  0.452  1.493  1.188    19
xi[31]      0.163   0.635 -0.754 -0.203  0.066  0.363  1.698  1.139    23
xi[32]     -0.031   0.648 -1.795 -0.299  0.034  0.357  0.857  1.094    40
xi[33]      0.367   0.531 -0.902 -0.046  0.528  0.832  0.994  2.080     6
xi[34]     -0.162   0.532 -1.483 -0.389 -0.118  0.147  0.660  1.091    24
xi[35]      0.045   0.793 -1.177 -0.381  0.108  0.341  1.824  1.050    40
xi[36]     -0.035   0.660 -1.838 -0.397  0.004  0.379  1.022  1.124    40
xi[37]      0.384   0.612 -0.594 -0.136  0.361  0.852  1.295  1.493     8
xi[38]     -0.353   0.680 -1.975 -0.697 -0.253  0.053  0.397  1.151    26
xi[39]     -0.077   0.850 -2.157 -0.290  0.007  0.352  1.365  1.237    20
deviance   11.126   8.158 -3.148  5.918 12.448 16.564 25.329  2.260     6

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 12.1 and DIC = 23.3
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%    Rhat n.eff
S[1]       11.775   8.535  1.000  6.250 11.500 16.500 24.000 102.259     4
S[2]       18.650   8.113  3.950 15.750 21.000 25.000 31.075   3.369     5
S[3]       25.775  10.047 10.000 20.500 29.000 34.250 35.000  63.613     4
S[4]       15.550  11.682  1.000  8.750 14.000 19.000 34.000   4.066     4
S[5]       21.125  12.313  1.000 16.750 24.000 33.000 34.000   5.105     4
S[6]       16.275   4.032 10.000 14.000 16.500 19.000 25.000   3.908     4
S[7]       10.725   8.271  1.000  5.000  7.500 17.000 27.000   2.094     6
S[8]       16.150   4.959  8.000 12.000 18.500 19.000 23.000   1.522     9
S[9]       20.725   6.226  8.000 16.250 23.000 25.000 33.000   2.979     5
S[10]      22.700   9.084  2.000 21.000 26.500 27.250 34.000   2.707     5
S[11]       9.825   5.760  1.000  5.000 10.500 14.750 18.025   1.805     7
S[12]      19.525   5.742 10.000 16.250 19.000 25.000 27.000   3.043     5
S[13]      10.525   8.305  1.000  7.250  9.000 12.000 36.000   4.237     4
S[14]      22.675   9.768  1.000 19.750 24.000 31.000 34.000   2.076     6
beta[1]     0.524   0.525 -0.154  0.021  0.482  0.864  1.530   1.873     6
beta[2]     0.051   0.364 -0.835  0.000  0.000  0.148  0.750   1.188    39
beta[3]     0.486   0.434  0.000  0.000  0.508  0.846  1.150   3.243     5
beta[4]     0.341   0.424  0.000  0.000  0.174  0.619  1.250   2.187     6
beta[5]     0.008   0.066 -0.002  0.000  0.000  0.000  0.010   1.257    40
beta[6]    -0.017   0.367 -0.818  0.000  0.000  0.158  0.616   1.873     7
beta[7]     0.000   0.000  0.000  0.000  0.000  0.000  0.000   1.000     1
beta[8]     0.052   0.071  0.000  0.000  0.000  0.121  0.182   1.179    15
beta[9]     0.030   0.107 -0.090  0.000  0.000  0.000  0.229   1.212    21
beta[10]    0.016   0.066 -0.008  0.000  0.000  0.000  0.176   1.131    40
beta[11]   -0.038   0.293 -0.892  0.000  0.000  0.000  0.630   1.237    33
beta[12]    0.014   0.061 -0.010  0.000  0.000  0.000  0.172   1.360    20
beta[13]   -0.021   0.064 -0.261  0.000  0.000  0.000  0.000   1.166    26
beta[14]    0.018   0.072  0.000  0.000  0.000  0.000  0.280   1.399    17
gamma[1]    0.875   0.335  0.000  1.000  1.000  1.000  1.000   1.737     8
gamma[2]    0.500   0.506  0.000  0.000  0.500  1.000  1.000   1.678     7
gamma[3]    0.625   0.490  0.000  0.000  1.000  1.000  1.000   2.598     5
gamma[4]    0.550   0.504  0.000  0.000  1.000  1.000  1.000   2.405     5
gamma[5]    0.050   0.221  0.000  0.000  0.000  0.000  1.000   1.362    20
gamma[6]    0.475   0.506  0.000  0.000  0.000  1.000  1.000   4.831     4
gamma[7]    0.000   0.000  0.000  0.000  0.000  0.000  0.000   1.000     1
gamma[8]    0.375   0.490  0.000  0.000  0.000  1.000  1.000   1.282    12
gamma[9]    0.225   0.423  0.000  0.000  0.000  0.000  1.000   1.362    11
gamma[10]   0.175   0.385  0.000  0.000  0.000  0.000  1.000   1.660     8
gamma[11]   0.375   0.490  0.000  0.000  0.000  1.000  1.000   2.598     5
gamma[12]   0.200   0.405  0.000  0.000  0.000  0.000  1.000   2.826     5
gamma[13]   0.175   0.385  0.000  0.000  0.000  0.000  1.000   1.265    15
gamma[14]   0.075   0.267  0.000  0.000  0.000  0.000  1.000   1.457    13
theta[1]    0.559   0.530 -0.267  0.204  0.524  0.864  1.530   1.531     8
theta[2]    0.164   0.597 -0.885 -0.157  0.170  0.584  1.157   1.170    17
theta[3]    0.602   0.461 -0.257  0.342  0.702  0.917  1.191   1.430    10
theta[4]    0.698   0.470  0.033  0.219  0.660  0.959  1.572   1.478     9
theta[5]    0.182   0.730 -1.377 -0.222  0.170  0.518  1.530   1.410    10
theta[6]    0.099   0.814 -1.412 -0.302  0.208  0.619  1.043   1.305    14
theta[7]    0.297   0.602 -0.892  0.039  0.175  0.738  1.364   1.245    14
theta[8]    0.066   0.740 -1.412 -0.236  0.130  0.215  1.176   1.146    40
theta[9]    0.037   0.598 -1.234 -0.280  0.152  0.451  0.936   1.091    24
theta[10]   0.251   0.453 -0.241  0.064  0.160  0.446  1.195   1.167    27
theta[11]   0.211   0.623 -0.892 -0.134  0.132  0.641  1.364   1.247    16
theta[12]   0.103   0.507 -0.818 -0.121  0.131  0.308  1.022   1.710     7
theta[13]   0.237   0.848 -1.363 -0.171  0.094  0.799  1.692   1.228    17
theta[14]   0.148   0.618 -0.889 -0.145  0.181  0.528  1.245   1.261    13
xi[1]       0.145   0.828 -1.096 -0.307  0.104  0.721  1.530   1.596     8
xi[2]      -0.058   0.615 -0.914 -0.560 -0.082  0.343  1.034   1.089    30
xi[3]      -0.201   0.741 -1.828 -0.701 -0.219  0.312  1.127   1.072    31
xi[4]       0.021   0.655 -1.243 -0.408  0.071  0.446  1.187   1.033    40
xi[5]       0.020   0.944 -1.357 -0.564  0.048  0.674  1.687   1.021    40
xi[6]      -0.222   0.531 -1.224 -0.508 -0.259  0.130  0.866   1.026    40
xi[7]      -0.021   0.558 -0.875 -0.443 -0.066  0.315  1.018   1.069    35
xi[8]      -0.003   0.619 -1.356 -0.249 -0.010  0.367  0.961   1.132    20
xi[9]       0.147   0.729 -0.917 -0.299  0.090  0.519  1.617   0.975    40
xi[10]      0.033   0.915 -1.404 -0.366  0.174  0.681  0.960   1.456    10
xi[11]      0.224   0.695 -1.194 -0.124  0.148  0.670  1.638   1.074    27
xi[12]      0.026   0.896 -1.344 -0.372  0.087  0.176  2.441   1.184    40
xi[13]     -0.282   0.775 -1.271 -0.637 -0.230  0.142  0.618   1.085    40
xi[14]      0.427   0.690 -0.555  0.162  0.355  0.619  2.279   1.066    40
xi[15]      0.162   0.878 -0.887 -0.338  0.146  0.541  1.366   1.048    40
xi[16]      0.025   0.606 -1.162 -0.272  0.101  0.412  1.127   1.077    25
xi[17]      0.189   0.607 -0.699 -0.199 -0.007  0.526  1.275   1.024    40
xi[18]      0.004   0.743 -1.320 -0.420 -0.094  0.341  1.513   1.087    24
xi[19]     -0.045   0.872 -1.412 -0.661  0.111  0.259  1.892   1.113    30
xi[20]      0.104   0.871 -1.137 -0.531  0.246  0.680  1.615   1.039    40
xi[21]     -0.196   0.691 -1.264 -0.612 -0.204  0.248  0.895   1.064    39
xi[22]      0.079   0.720 -0.971 -0.280 -0.054  0.379  1.509   1.004    40
xi[23]     -0.085   0.727 -1.485 -0.429 -0.091  0.205  1.639   1.033    40
xi[24]      0.201   0.573 -0.851 -0.168  0.142  0.615  1.216   1.105    20
xi[25]      0.109   0.501 -0.830 -0.149  0.118  0.368  0.979   1.031    40
xi[26]     -0.098   0.599 -1.042 -0.384 -0.157  0.265  0.800   1.031    40
xi[27]     -0.092   0.619 -1.126 -0.305 -0.001  0.172  0.882   1.158    24
xi[28]      0.181   0.753 -0.899 -0.227  0.208  0.560  1.386   1.056    40
xi[29]     -0.002   0.684 -1.111 -0.519 -0.053  0.307  1.346   1.006    40
xi[30]      0.037   0.527 -0.838 -0.373  0.137  0.344  1.262   1.064    27
xi[31]     -0.184   0.805 -1.439 -0.611 -0.182  0.231  1.487   1.092    23
xi[32]     -0.004   0.552 -0.976 -0.351  0.017  0.321  1.067   1.020    40
xi[33]      0.049   0.686 -1.123 -0.296  0.018  0.355  1.841   1.000    40
xi[34]      0.160   0.735 -1.382 -0.317  0.244  0.633  1.328   1.432     9
xi[35]      0.201   0.916 -1.426 -0.219  0.285  0.799  1.712   1.227    15
xi[36]      0.156   0.888 -1.274 -0.301  0.010  0.429  2.396   1.044    40
xi[37]      0.118   0.645 -1.265 -0.265  0.074  0.551  1.290   1.236    13
xi[38]      0.117   0.732 -1.215 -0.517  0.181  0.649  1.490   1.017    40
xi[39]     -0.032   0.853 -1.271 -0.392 -0.039  0.463  0.930   1.086    40
deviance   16.334   8.455  4.521  8.954 15.720 21.299 30.783   1.182    17

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 32.6 and DIC = 49.0
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 60 iterations (first 10 discarded), n.thin = 5
 n.sims = 40 iterations saved
          mu.vect sd.vect   2.5%    25%    50%     75%   97.5%   Rhat n.eff
S[1]        4.700   3.716  1.000  1.000  6.000   9.000  11.050  3.464     5
S[2]       15.250  11.637  1.000  8.500 13.000  30.000  34.000  1.638     8
S[3]       11.700  11.523  1.000  1.000 10.000  17.250  30.000  2.693     5
S[4]       10.250  12.012  1.000  1.000  5.000  14.250  30.000  1.000     1
S[5]       14.350  10.146  1.000  4.750 14.500  23.000  30.000 18.547     4
S[6]       25.425   9.092 11.000 21.500 27.000  31.250  35.050 16.944     4
S[7]       16.550  13.257  1.000  7.500 14.000  27.000  39.000 10.357     4
S[8]       12.025  12.982  1.000  1.000  6.000  19.500  34.000  2.314     5
S[9]       10.950   9.706  1.000  1.000 10.000  20.000  29.025  2.618     5
S[10]      19.625  11.151  6.000  8.250 20.000  27.500  37.000  3.754     4
S[11]      19.125   9.749  1.000 16.500 18.500  24.500  35.050  2.354     6
S[12]      24.125  12.968  1.000 17.000 29.500  33.500  39.000  3.488     5
S[13]       1.725   1.694  1.000  1.000  1.000   1.000   6.000  2.182     6
S[14]      14.100   9.251  1.000  6.000  9.000  20.250  29.000  1.392    12
beta[1]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[2]     0.021   0.131  0.000  0.000  0.000   0.000   0.021  1.287    40
beta[3]     0.359   0.644  0.000  0.000  0.000   0.164   1.533  7.151     4
beta[4]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[5]     0.045   0.200  0.000  0.000  0.000   0.000   0.796  1.360    20
beta[6]     0.138   0.304  0.000  0.000  0.000   0.000   0.829  2.270     6
beta[7]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[8]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[9]     0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[10]    0.186   0.507 -0.002  0.000  0.000   0.000   1.583  1.188    22
beta[11]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[12]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
beta[13]   -0.978   0.921 -2.127 -2.049 -0.501  -0.113   0.003  2.513     5
beta[14]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[1]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[2]    0.025   0.158  0.000  0.000  0.000   0.000   0.025  1.287    40
gamma[3]    0.250   0.439  0.000  0.000  0.000   0.250   1.000  1.000     1
gamma[4]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[5]    0.050   0.221  0.000  0.000  0.000   0.000   1.000  1.362    20
gamma[6]    0.175   0.385  0.000  0.000  0.000   0.000   1.000  2.281     6
gamma[7]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[8]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[9]    0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[10]   0.150   0.362  0.000  0.000  0.000   0.000   1.000  1.278    15
gamma[11]   0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[12]   0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
gamma[13]   0.800   0.405  0.000  1.000  1.000   1.000   1.000  2.826     5
gamma[14]   0.000   0.000  0.000  0.000  0.000   0.000   0.000  1.000     1
theta[1]   -1.134   1.005 -2.523 -2.001 -1.321  -0.431   0.934  1.357    11
theta[2]    0.034   1.940 -3.735 -1.017 -0.114   1.524   2.972  1.217    14
theta[3]   -0.420   1.686 -2.452 -2.018 -0.461   1.114   1.611  1.650     7
theta[4]   -0.399   1.426 -2.228 -1.883 -0.446   1.034   1.622  2.301     5
theta[5]   -0.284   1.351 -2.130 -1.794 -0.214   0.817   1.707  1.783     7
theta[6]    1.270   1.862 -2.452  0.748  1.210   1.550   4.837  1.263    14
theta[7]   -0.356   1.983 -2.599 -1.883 -0.755   0.847   4.182  2.082     6
theta[8]   -0.803   1.744 -2.599 -2.048 -1.421  -0.306   2.924  1.551     9
theta[9]   -0.942   1.954 -5.435 -2.068 -0.927   0.176   1.711  1.295    12
theta[10]   0.226   1.783 -2.212 -1.365  0.255   1.508   4.573  1.539     8
theta[11]   0.282   2.153 -3.159 -1.005 -0.070   1.258   4.837  1.759     7
theta[12]   1.008   2.153 -2.108 -0.226  0.878   1.624   4.878  1.680     7
theta[13]  -1.328   0.820 -2.213 -2.067 -1.722  -0.453  -0.068  1.500     8
